frame,t_ms,frame_ms,process_ms,physics_ms,live_swarm
131,904.39,6.896,5.142,0.614,6722
132,911.89,6.896,5.142,0.614,6697
133,918.26,6.896,5.142,0.614,6643
134,925.12,6.896,5.142,0.614,6598
135,932.28,6.896,5.142,0.614,6565
136,938.80,6.896,5.142,0.614,6561
137,946.01,6.896,5.142,0.614,6589
138,952.56,6.896,5.142,0.614,6617
139,959.59,6.896,5.142,0.614,6596
140,966.73,6.896,5.142,0.614,6546
141,973.89,6.896,5.142,0.614,6509
142,980.67,6.896,5.142,0.614,6480
143,987.24,6.896,5.142,0.614,6442
144,994.45,6.896,5.142,0.614,6453
145,1001.04,6.896,5.142,0.614,6481
146,1007.85,6.896,5.142,0.614,6508
147,1015.10,6.896,5.142,0.614,6469
148,1021.67,6.896,5.142,0.614,6428
149,1028.76,6.896,5.142,0.614,6416
150,1035.54,6.896,5.142,0.614,6400
151,1042.48,6.896,5.142,0.614,6369
152,1049.56,6.896,5.142,0.614,6397
153,1056.18,6.896,5.142,0.614,6424
154,1063.33,6.896,5.142,0.614,6451
155,1070.10,6.896,5.142,0.614,6475
156,1077.62,6.896,5.142,0.614,6502
157,1083.90,6.896,5.142,0.614,6530
158,1090.69,6.896,5.142,0.614,6557
159,1097.79,6.896,5.142,0.614,6585
160,1104.51,6.896,5.142,0.614,6613
161,1111.64,6.896,5.142,0.614,6640
162,1118.30,6.896,5.142,0.614,6668
163,1125.28,6.896,5.142,0.614,6695
164,1132.55,6.896,5.142,0.614,6723
165,1138.91,6.896,5.142,0.614,6750
166,1146.02,6.896,5.142,0.614,6778
167,1152.85,6.896,5.142,0.614,6806
168,1159.57,6.896,5.142,0.614,6833
169,1166.91,6.896,5.142,0.614,6861
170,1173.52,6.896,5.142,0.614,6888
171,1181.51,6.896,5.142,0.614,6916
172,1187.41,6.896,5.142,0.614,6944
173,1194.34,6.896,5.142,0.614,6971
174,1201.14,6.896,5.142,0.614,6999
175,1208.09,6.896,5.142,0.614,7026
176,1215.34,6.896,5.142,0.614,7054
177,1221.71,6.896,5.142,0.614,7081
178,1229.11,6.896,5.142,0.614,7109
179,1235.54,6.896,5.142,0.614,7137
180,1242.55,6.896,5.142,0.614,7164
181,1249.70,6.896,5.142,0.614,7192
182,1256.31,6.896,5.142,0.614,7219
183,1263.52,6.896,5.142,0.614,7247
184,1270.09,6.896,5.142,0.614,7275
185,1277.21,6.896,5.142,0.614,7302
186,1284.41,6.896,5.142,0.614,7330
187,1290.83,6.896,5.142,0.614,7357
188,1298.06,6.896,5.142,0.614,7385
189,1304.58,6.896,5.142,0.614,7412
190,1311.87,6.896,5.142,0.614,7440
191,1318.38,6.896,5.142,0.614,7468
192,1325.31,6.896,5.142,0.614,7495
193,1332.70,6.896,5.142,0.614,7523
194,1339.14,6.896,5.142,0.614,7550
195,1346.44,6.896,5.142,0.614,7578
196,1352.79,6.896,5.142,0.614,7606
197,1359.84,6.896,5.142,0.614,7633
198,1367.08,6.896,5.142,0.614,7661
199,1373.58,6.896,5.142,0.614,7688
200,1380.88,6.896,5.142,0.614,7716
201,1387.88,6.896,5.142,0.614,7743
202,1394.65,6.896,5.142,0.614,7771
203,1401.19,6.896,5.142,0.614,7799
204,1408.18,6.896,5.142,0.614,7826
205,1415.20,6.896,5.142,0.614,7854
206,1421.86,6.896,5.142,0.614,7881
207,1429.07,6.896,5.142,0.614,7909
208,1435.76,6.896,5.142,0.614,7937
209,1442.68,6.896,5.142,0.614,7964
210,1450.00,6.896,5.142,0.614,7992
211,1456.42,6.896,5.142,0.614,8019
212,1463.48,6.896,5.142,0.614,8047
213,1470.18,6.896,5.142,0.614,8074
214,1477.34,6.896,5.142,0.614,8102
215,1483.93,6.896,5.142,0.614,8130
216,1491.26,6.896,5.142,0.614,8157
217,1498.04,6.896,5.142,0.614,8185
218,1504.65,6.896,5.142,0.614,8212
219,1511.89,6.896,5.142,0.614,8240
220,1518.49,6.896,5.142,0.614,8268
221,1525.42,6.896,5.142,0.614,8295
222,1532.47,6.896,5.142,0.614,8323
223,1539.20,6.896,5.142,0.614,8350
224,1546.35,6.896,5.142,0.614,8378
225,1552.90,6.896,5.142,0.614,8405
226,1559.92,6.896,5.142,0.614,8433
227,1567.16,6.896,5.142,0.614,8461
228,1573.72,6.896,5.142,0.614,8488
229,1580.91,6.896,5.142,0.614,8516
230,1587.42,6.896,5.142,0.614,8543
231,1594.86,6.896,5.142,0.614,8571
232,1601.24,6.896,5.142,0.614,8599
233,1608.32,6.896,5.142,0.614,8626
234,1615.47,6.896,5.142,0.614,8654
235,1621.94,6.896,5.142,0.614,8681
236,1629.24,6.896,5.142,0.614,8709
237,1635.85,6.896,5.142,0.614,8736
238,1642.69,6.896,5.142,0.614,8764
239,1649.91,6.896,5.142,0.614,8792
240,1656.35,6.896,5.142,0.614,8819
241,1663.54,6.896,5.142,0.614,8847
242,1670.43,6.896,5.142,0.614,8874
243,1677.67,6.896,5.142,0.614,8902
244,1684.15,6.896,5.142,0.614,8930
245,1691.00,6.896,5.142,0.614,8957
246,1698.66,6.896,5.142,0.614,8985
247,1704.80,6.896,5.142,0.614,9012
248,1712.02,6.896,5.142,0.614,9040
249,1718.57,6.896,5.142,0.614,9067
250,1725.37,6.896,5.142,0.614,9095
251,1732.76,6.896,5.142,0.614,9123
252,1739.35,6.896,5.142,0.614,9150
253,1746.38,6.896,5.142,0.614,9178
254,1753.06,6.896,5.142,0.614,9205
255,1760.06,6.896,5.949,0.449,9233
256,1766.96,6.896,5.949,0.449,9261
257,1773.76,6.896,5.949,0.449,9288
258,1780.93,6.896,5.949,0.449,9316
259,1787.69,6.896,5.949,0.449,9343
260,1794.81,6.896,5.949,0.449,9371
261,1802.03,6.896,5.949,0.449,9398
262,1808.30,6.896,5.949,0.449,9426
263,1815.50,6.896,5.949,0.449,9454
264,1822.14,6.896,5.949,0.449,9481
265,1829.14,6.896,5.949,0.449,9509
266,1835.96,6.896,5.949,0.449,9536
267,1842.80,6.896,5.949,0.449,9564
268,1850.08,6.896,5.949,0.449,9592
269,1856.55,6.896,5.949,0.449,9619
270,1863.78,6.896,5.949,0.449,9647
271,1870.41,6.896,5.949,0.449,9674
272,1877.56,6.896,5.949,0.449,9701
273,1884.19,6.896,5.949,0.449,9728
274,1891.26,6.896,5.949,0.449,9756
275,1898.21,6.896,5.949,0.449,9784
276,1905.31,6.896,5.949,0.449,9811
277,1912.13,6.896,5.949,0.449,9839
278,1918.64,6.896,5.949,0.449,9866
279,1925.52,6.896,5.949,0.449,9894
280,1932.69,6.896,5.949,0.449,9919
281,1939.34,6.896,5.949,0.449,9945
282,1946.61,6.896,5.949,0.449,9970
283,1953.19,6.896,5.949,0.449,9993
284,1960.20,6.896,5.949,0.449,9996
285,1967.04,6.896,5.949,0.449,10000
286,1973.76,6.896,5.949,0.449,10000
287,1981.09,6.896,5.949,0.449,10000
288,1987.69,6.896,5.949,0.449,9999
289,1994.86,6.896,5.949,0.449,9996
290,2001.44,6.896,5.949,0.449,9996
291,2008.67,6.896,5.949,0.449,9993
292,2015.51,6.896,5.949,0.449,9994
293,2022.11,6.896,5.949,0.449,10000
294,2029.16,6.896,5.949,0.449,10000
295,2036.07,6.896,5.949,0.449,9999
296,2042.87,6.896,5.949,0.449,9998
297,2050.11,6.896,5.949,0.449,9998
298,2056.60,6.896,5.949,0.449,9993
299,2063.99,6.896,5.949,0.449,9992
300,2070.53,6.896,5.949,0.449,9997
301,2077.59,6.896,5.949,0.449,10000
302,2084.28,6.896,5.949,0.449,10000
303,2091.25,6.896,5.949,0.449,9996
304,2098.30,6.896,5.949,0.449,9996
305,2105.00,6.896,5.949,0.449,9992
306,2112.75,6.896,5.949,0.449,9989
307,2118.67,6.896,5.949,0.449,9989
308,2125.72,6.896,5.949,0.449,9999
309,2132.90,6.896,5.949,0.449,10000
310,2139.45,6.896,5.949,0.449,10000
311,2149.50,6.896,5.949,0.449,9997
312,2153.19,6.896,5.949,0.449,9995
313,2160.16,6.896,5.949,0.449,9990
314,2167.29,6.896,5.949,0.449,9989
315,2173.95,6.896,5.949,0.449,9993
316,2181.13,6.896,5.949,0.449,10000
317,2187.64,6.896,5.949,0.449,10000
318,2195.04,6.896,5.949,0.449,10000
319,2201.50,6.896,5.949,0.449,9997
320,2208.53,6.896,5.949,0.449,9995
321,2216.23,6.896,5.949,0.449,9993
322,2222.20,6.896,5.949,0.449,9989
323,2229.48,6.896,5.949,0.449,9982
324,2236.14,6.896,5.949,0.449,10000
325,2242.92,6.896,5.949,0.449,10000
326,2250.11,6.896,5.949,0.449,9997
327,2256.82,6.896,5.949,0.449,9987
328,2263.90,6.896,5.949,0.449,9993
329,2270.72,6.896,5.949,0.449,9992
330,2277.66,6.896,5.949,0.449,9987
331,2284.35,6.896,5.949,0.449,9988
332,2291.33,6.896,5.949,0.449,10000
333,2298.48,6.896,5.949,0.449,10000
334,2305.06,6.896,5.949,0.449,9997
335,2312.39,6.896,5.949,0.449,9990
336,2319.17,6.896,5.949,0.449,9993
337,2325.59,6.896,5.949,0.449,9991
338,2332.90,6.896,5.949,0.449,9981
339,2339.57,6.896,5.949,0.449,9988
340,2346.92,6.896,5.949,0.449,10000
341,2353.32,6.896,5.949,0.449,10000
342,2360.32,6.896,5.949,0.449,9996
343,2367.52,6.896,5.949,0.449,9992
344,2374.05,6.896,5.949,0.449,9985
345,2381.44,6.896,5.949,0.449,9986
346,2387.99,6.896,5.949,0.449,9982
347,2395.14,6.896,5.949,0.449,9995
348,2401.75,6.896,5.949,0.449,10000
349,2408.59,6.896,5.949,0.449,10000
350,2415.73,6.896,5.949,0.449,9992
351,2422.67,6.896,5.949,0.449,9987
352,2429.54,6.896,5.949,0.449,9990
353,2436.26,6.896,5.949,0.449,9984
354,2443.15,6.896,5.949,0.449,9978
355,2450.25,6.896,5.949,0.449,9997
356,2456.83,6.896,5.949,0.449,10000
357,2464.04,6.896,5.949,0.449,10000
358,2470.92,6.896,5.949,0.449,9994
359,2478.21,6.896,5.949,0.449,9995
360,2484.39,6.896,5.949,0.449,9985
361,2491.35,6.896,5.949,0.449,9983
362,2498.53,6.896,5.949,0.449,9979
363,2505.20,6.896,5.949,0.449,10000
364,2512.28,6.896,5.949,0.449,10000
365,2519.03,6.896,5.949,0.449,9997
366,2526.34,6.896,5.949,0.449,9991
367,2532.85,6.896,5.949,0.449,9988
368,2539.79,6.896,5.949,0.449,9980
369,2546.86,6.896,5.949,0.449,9973
370,2553.58,6.896,5.949,0.449,9973
371,2560.52,6.896,5.949,0.449,10000
372,2567.51,6.896,5.949,0.449,10000
373,2574.17,6.896,5.949,0.449,10000
374,2581.40,6.896,5.949,0.449,9982
375,2588.09,6.896,5.949,0.449,9980
376,2595.16,6.896,5.949,0.449,9982
377,2601.75,6.896,5.949,0.449,9966
378,2608.65,6.896,5.949,0.449,9982
379,2616.28,6.896,5.949,0.449,10000
380,2622.42,6.896,5.949,0.449,10000
381,2630.03,6.896,5.949,0.449,9993
382,2636.27,6.896,5.949,0.449,9984
383,2643.10,6.896,5.949,0.449,9982
384,2650.24,6.896,5.949,0.449,9971
385,2657.07,6.896,5.949,0.449,9959
386,2664.08,6.896,5.949,0.449,9978
387,2670.76,6.896,5.949,0.449,10000
388,2677.78,6.896,5.949,0.449,10000
389,2684.49,6.896,5.949,0.449,9985
390,2691.51,6.896,5.949,0.449,9983
391,2698.70,6.896,5.949,0.449,9984
392,2705.28,6.896,5.949,0.449,9961
393,2712.43,6.896,5.949,0.449,9949
394,2719.07,6.896,5.949,0.449,9967
395,2726.09,6.896,5.949,0.449,9995
396,2733.57,6.896,5.949,0.449,10000
397,2739.74,6.896,5.949,0.449,9992
398,2746.77,6.896,5.949,0.449,9985
399,2753.72,6.896,5.949,0.449,9978
400,2760.64,6.896,4.715,0.417,9966
401,2767.64,6.896,4.715,0.417,9950
402,2774.36,6.896,4.715,0.417,9976
403,2781.61,6.896,4.715,0.417,10000
404,2788.07,6.896,4.715,0.417,10000
405,2795.29,6.896,4.715,0.417,9988
406,2801.91,6.896,4.715,0.417,9988
407,2808.80,6.896,4.715,0.417,9981
408,2816.12,6.896,4.715,0.417,9959
409,2822.57,6.896,4.715,0.417,9957
410,2829.75,6.896,4.715,0.417,9985
411,2836.77,6.896,4.715,0.417,10000
412,2843.13,6.896,4.715,0.417,9997
413,2850.42,6.896,4.715,0.417,9983
414,2857.17,6.896,4.715,0.417,9981
415,2864.24,6.896,4.715,0.417,9974
416,2870.80,6.896,4.715,0.417,9966
417,2878.06,6.896,4.715,0.417,9956
418,2884.57,6.896,4.715,0.417,9984
419,2891.54,6.896,4.715,0.417,10000
420,2898.79,6.896,4.715,0.417,9991
421,2905.32,6.896,4.715,0.417,9984
422,2912.75,6.896,4.715,0.417,9977
423,2919.22,6.896,4.715,0.417,9966
424,2926.10,6.896,4.715,0.417,9959
425,2933.31,6.896,4.715,0.417,9964
426,2940.33,6.896,4.715,0.417,9992
427,2947.07,6.896,4.715,0.417,10000
428,2953.66,6.896,4.715,0.417,9992
429,2960.66,6.896,4.715,0.417,9985
430,2967.67,6.896,4.715,0.417,9985
431,2974.45,6.896,4.715,0.417,9963
432,2981.48,6.896,4.715,0.417,9948
433,2988.20,6.896,4.715,0.417,9958
434,2995.36,6.896,4.715,0.417,9986
435,3001.80,6.896,4.715,0.417,10000
436,3008.73,6.896,4.715,0.417,9989
437,3016.33,6.896,4.715,0.417,9976
438,3022.66,6.896,4.715,0.417,9973
439,3030.03,6.896,4.715,0.417,9953
440,3036.49,6.896,4.715,0.417,9919
441,3043.78,6.896,4.715,0.417,9942
442,3050.53,6.896,4.715,0.417,9970
443,3057.25,6.896,4.715,0.417,9998
444,3064.44,6.896,4.715,0.417,9976
445,3070.89,6.896,4.715,0.417,9982
446,3078.14,6.896,4.715,0.417,9980
447,3084.73,6.896,4.715,0.417,9940
448,3091.68,6.896,4.715,0.417,9930
449,3098.90,6.896,4.715,0.417,9957
450,3105.57,6.896,4.715,0.417,9985
451,3112.62,6.896,4.715,0.417,10000
452,3119.25,6.896,4.715,0.417,9975
453,3126.19,6.896,4.715,0.417,9968
454,3133.40,6.896,4.715,0.417,9959
455,3140.08,6.896,4.715,0.417,9919
456,3147.55,6.896,4.715,0.417,9916
457,3153.67,6.896,4.715,0.417,9943
458,3160.67,6.896,4.715,0.417,9971
459,3167.95,6.896,4.715,0.417,9990
460,3174.49,6.896,4.715,0.417,9971
461,3181.56,6.896,4.715,0.417,9972
462,3188.36,6.896,4.715,0.417,9970
463,3195.41,6.896,4.715,0.417,9938
464,3202.11,6.896,4.715,0.417,9945
465,3208.92,6.896,4.715,0.417,9973
466,3216.35,6.896,4.715,0.417,10000
467,3222.75,6.896,4.715,0.417,9987
468,3229.93,6.896,4.715,0.417,9980
469,3236.49,6.896,4.715,0.417,9985
470,3243.46,6.896,4.715,0.417,9961
471,3251.06,6.896,4.715,0.417,9937
472,3257.31,6.896,4.715,0.417,9948
473,3264.58,6.896,4.715,0.417,9976
474,3271.08,6.896,4.715,0.417,10000
475,3278.21,6.896,4.715,0.417,9985
476,3284.95,6.896,4.715,0.417,9979
477,3291.86,6.896,4.715,0.417,9971
478,3298.93,6.896,4.715,0.417,9944
479,3305.64,6.896,4.715,0.417,9901
480,3312.71,6.896,4.715,0.417,9917
481,3319.35,6.896,4.715,0.417,9945
482,3326.39,6.896,4.715,0.417,9973
483,3333.52,6.896,4.715,0.417,9973
484,3340.14,6.896,4.715,0.417,9970
485,3347.41,6.896,4.715,0.417,9969
486,3354.42,6.896,4.715,0.417,9945
487,3360.89,6.896,4.715,0.417,9910
488,3368.11,6.896,4.715,0.417,9937
489,3374.65,6.896,4.715,0.417,9965
490,3381.83,6.896,4.715,0.417,9990
491,3388.47,6.896,4.715,0.417,9960
492,3395.64,6.896,4.715,0.417,9965
493,3402.32,6.896,4.715,0.417,9961
494,3409.13,6.896,4.715,0.417,9920
495,3416.31,6.896,4.715,0.417,9897
496,3422.78,6.896,4.715,0.417,9925
497,3430.17,6.896,4.715,0.417,9952
498,3436.55,6.896,4.715,0.417,9971
499,3443.58,6.896,4.715,0.417,9966
500,3450.61,6.896,4.715,0.417,9970
501,3457.78,6.896,4.715,0.417,9960
502,3464.73,6.896,4.715,0.417,9913
503,3471.46,6.896,4.715,0.417,9895
504,3478.41,6.896,4.715,0.417,9922
505,3485.06,6.896,4.715,0.417,9950
506,3491.92,6.896,4.715,0.417,9964
507,3499.17,6.896,4.715,0.417,9954
508,3505.78,6.896,4.715,0.417,9945
509,3512.93,6.896,4.715,0.417,9934
510,3519.66,6.896,4.715,0.417,9895
511,3526.40,6.896,4.715,0.417,9892
512,3533.60,6.896,4.715,0.417,9919
513,3540.13,6.896,4.715,0.417,9947
514,3547.41,6.896,4.715,0.417,9959
515,3554.42,6.896,4.715,0.417,9966
516,3561.24,6.896,4.715,0.417,9966
517,3568.12,6.896,4.715,0.417,9939
518,3574.65,6.896,4.715,0.417,9900
519,3581.87,6.896,4.715,0.417,9915
520,3588.49,6.896,4.715,0.417,9943
521,3595.85,6.896,4.715,0.417,9970
522,3602.35,6.896,4.715,0.417,9970
523,3609.26,6.896,4.715,0.417,9972
524,3616.46,6.896,4.715,0.417,9969
525,3623.01,6.896,4.715,0.417,9940
526,3630.24,6.896,4.715,0.417,9906
527,3636.77,6.896,4.715,0.417,9934
528,3643.71,6.896,4.715,0.417,9961
529,3650.75,6.896,4.715,0.417,9985
530,3657.48,6.896,4.715,0.417,9972
531,3665.23,6.896,4.715,0.417,9969
532,3671.33,6.896,4.715,0.417,9958
533,3678.30,6.896,4.715,0.417,9927
534,3685.16,6.896,4.715,0.417,9904
535,3692.04,6.896,4.715,0.417,9932
536,3699.14,6.896,4.715,0.417,9959
537,3705.66,6.896,4.715,0.417,9979
538,3712.80,6.896,4.715,0.417,9967
539,3719.49,6.896,4.715,0.417,9963
540,3726.60,6.896,4.715,0.417,9949
541,3733.57,6.896,4.715,0.417,9925
542,3740.61,6.896,4.715,0.417,9907
543,3747.44,6.896,4.715,0.417,9934
544,3754.14,6.896,4.715,0.417,9962
545,3761.01,6.896,5.438,0.467,9974
546,3768.75,6.896,5.438,0.467,9957
547,3774.78,6.896,5.438,0.467,9959
548,3781.85,6.896,5.438,0.467,9941
549,3788.74,6.896,5.438,0.467,9924
550,3795.89,6.896,5.438,0.467,9927
551,3802.31,6.896,5.438,0.467,9955
552,3809.33,6.896,5.438,0.467,9982
553,3816.54,6.896,5.438,0.467,9976
554,3823.14,6.896,5.438,0.467,9959
555,3830.21,6.896,5.438,0.467,9952
556,3836.85,6.896,5.438,0.467,9936
557,3843.79,6.896,5.438,0.467,9921
558,3851.16,6.896,5.438,0.467,9933
559,3857.50,6.896,5.438,0.467,9961
560,3864.79,6.896,5.438,0.467,9988
561,3871.88,6.896,5.438,0.467,9960
562,3878.62,6.896,5.438,0.467,9951
563,3885.12,6.896,5.438,0.467,9934
564,3892.14,6.896,5.438,0.467,9914
565,3899.40,6.896,5.438,0.467,9892
